on|canada	Ontario
picardie|france	Picardy
poitoucharente|france	Poitou-Charentes
provencealpes|france	Provence-Alpes-Cote d'Azur
provencealpescotedazur|france	Provence-Alpes-Cote d'Azur
bouchedurhone|france	Provence-Alpes-Cote d'Azur
provencealpescotedazurfr|france	Provence-Alpes-Cote d'Azur
provencealpescotedazur|france	Provence-Alpes-Cote d'Azur
provencealps|france	Provence-Alpes-Cote d'Azur
ardeche|france	Rhone-Alpes
ardeche|france	Rhone-Alpes
rhonealpes|france	Rhone-Alpes
chayenne|frenchguiana	Cayenne
gambierarchipelago|frenchpolynesia	Gambier Islands
ogoueivindo|gabon	Ogooue-Ivindo
ogooueivindo|gabon	Ogooue-Ivindo
bw|germany	Baden-Wuerttemberg
badenwuerttembergwuerttemberg|germany	Baden-Wuerttemberg
badenwurttemberg|germany	Baden-Wuerttemberg
badenwuertemberg|germany	Baden-Wuerttemberg
badenwurttemberg|germany	Baden-Wuerttemberg
bayern|germany	Bavaria
oberbayern|germany	Bavaria
unterfranken|germany	Bavaria
bavaria|germany	Bavaria
landbrandenburg|germany	Brandenburg
brandeburg|germany	Brandenburg
mecklenburgvorpommem|germany	Mecklenburg-Vorpommern
mecklenburgvorpommen|germany	Mecklenburg-Vorpommern
mecklenburgwesternpomerania|germany	Mecklenburg-Vorpommern
lowersaxony|germany	Niedersachsen
nordheinwestfalen|germany	North Rhine-Westphalia
northrhinewestphalia|germany	North Rhine-Westphalia
northrhinewestphalia|germany	North Rhine-Westphalia
nordrhein|germany	North Rhine-Westphalia
westfalen|germany	North Rhine-Westphalia
northrhinewestphalia|germany	North Rhine-Westphalia
palatinate|germany	Rhineland Palatinate
rheinland|germany	Rhineland Palatinate
rheinlandpfalz|germany	Rhineland Palatinate
pfalz|germany	Rhineland Palatinate
rhinelandpalatinate|germany	Rhineland Palatinate
saxony|germany	Sachsen
saxonia|germany	Sachsen
sachsenanhalt|germany	Saxony-Anhalt
saxonzanhalt|germany	Saxony-Anhalt
sachsenanhalt|germany	Saxony-Anhalt
schleswigholstein|germany	Schleswig-Holstein
thuringen|germany	Thuringia
thuringen|germany	Thuringia
thueringen|germany	Thuringia
attika|greece	Attica
chaichidild|greece	East Macedonia and Thrace
chalchidiki|greece	East Macedonia and Thrace
anatolikimakedoniakaithraki|greece	East Macedonia and Thrace
epiros|greece	Epirus
peloponissos|greece	Peloponnese
peloponnes|greece	Peloponnese
peloponnes|greece	Peloponnese
peloponnisosel|greece	Peloponnese
saegean|greece	South Aegean
thessalia|greece	Thessaly
cuyunimazarunidistrict|guyana	Cuyuni-Mazaruni
potarosiparunidistrict|guyana	Potaro-Siparuni
siparuni|guyana	Potaro-Siparuni
vezprem|hungary	Veszprem
vezprem|hungary	Veszprem
andamanislands|india	Andaman and Nicobar
andrapradesh|india	Andhra Pradesh
chhatishgarh|india	Chhattisgarh
gujarath|india	Gujarat
gujrat|india	Gujarat
gujrath|india	Gujarat
pondicherry|india	Maharashtra
meghalya|india	Meghalaya
odisha|india	Orissa
odissa|india	Orissa
rajashthan|india	Rajasthan
tamilnadu|india	Tamil Nadu
uttarakhand|india	Uttaranchal
bengal|india	West Bengal
javabarat|indonesia	Jawa Barat
javaisland|indonesia	Jawa Barat
eastjava|indonesia	Jawa Timur
semnanprovince|iran	Semnan
provtehran|iran	Tehran
salahaddin|iraq	Saladin
salahaddin|iraq	Saladin
assulaymaniyah|iraq	Sulaymaniyah
sulaimani|iraq	Sulaymaniyah
dublin|ireland	Dublin City
haifadistrict|israel	Haifa
hadarom|israel	Southern
southerndistrict|israel	Southern
abruzzen|italy	Abruzzi
abruzzo|italy	Abruzzi
latina|italy	Campania
sorrento|italy	Campania
emiliaromagna|italy	Emilia-Romagna
emigliaromagna|italy	Emilia-Romagna
friulvenezia|italy	Friuli-Venezia Giulia
lombardia|italy	Lombardy
lombardiasondrio|italy	Lombardy
piemonteit|italy	Piedmont
piemont|italy	Piedmont
asti|italy	Piedmont
torino|italy	Piedmont
sardegna|italy	Sardinia
sicilia|italy	Sicily
siciliait|italy	Sicily
sudtirol|italy	South Tyrol
traltoadige|italy	Trentino-Alto Adige
trentinoaltoadige|italy	Trentino-Alto Adige
trento|italy	Trentino-Alto Adige
vinschgau|italy	Trentino-Alto Adige
toscana|italy	Tuscany
toskana|italy	Tuscany
venetien|italy	Veneto
vrveneto|italy	Veneto
venezia|italy	Veneto
venetia|italy	Veneto
hokaido|japan	Hokkaido
honsyu|japan	Honshu
gunma|japan	Kanto
turgai|kazakhstan	Turgay
centralprovince|kenya	Central
coastprovince|kenya	Coast
kabamega|kenya	Kakamega
kwalecounty|kenya	Kwale
laikipiacounty|kenya	Laikipia County
nairobiarea|kenya	Nairobi
greatriftvalley|kenya	Rift Valley
riftvalley|kenya	Rift Valley
riftyvalley|kenya	Rift Valley
riftyvalley|kenya	Rift Valley
osch|kyrgyzstan	Osh
attapeuprov|laos	Attapu
bolikhamsai|laos	Bolikhamxay
houaphan|laos	Houaphan
huaphan|laos	Houaphan
huaphane|laos	Houaphan
khammouane|laos	Khammouan
luangprabang|laos	Louangphrabang
louangphrabang|laos	Louangphrabang
oudumaxi|laos	Oudomxai
antananariov|madagascar	Antananarivo
antsirinana|madagascar	Antsiranana
antsirananana|madagascar	Antsiranana
diegosuarez|madagascar	Antsiranana
fianarantosa|madagascar	Fianarantsoa
fianarantosoa|madagascar	Fianarantsoa
majunga|madagascar	Mahajanga
tulear|madagascar	Toliara
melaka|malaysia	Malacca
bajacaln|mexico	Baja California
bajacalifornianorte|mexico	Baja California
bcs|mexico	Baja California Sur
chis|mexico	Chihuahua
chiuahua|mexico	Chihuahua
df|mexico	Distrito Federal
df|mexico	Distrito Federal
df|mexico	Distrito Federal
guerreo|mexico	Guerrero
hdalgo|mexico	Hidalgo
estadodemexico|mexico	Mexico State
estadodemexico|mexico	Mexico State
mexico|mexico	Mexico State
michoacan|mexico	Michoacan
oax|mexico	Oaxaca
queretaro|mexico	Queretaro
archangay|mongolia	Arhangay
arkhangai|mongolia	Arhangay
arkhangayaimag|mongolia	Arhangay
bayanchongor|mongolia	Bayanhongor
bayankhongoraimag|mongolia	Bayanhongor
bayanulegeyaymak|mongolia	Bayanolgiy
bayanolgiyaimag|mongolia	Bayanolgiy
bayonolgiyaimag|mongolia	Bayanolgiy
dornogovi|mongolia	Dorngovi
govaltay|mongolia	Govi-Altay
govialtai|mongolia	Govi-Altay
govialtaiaimag|mongolia	Govi-Altay
gobi|mongolia	Govi-Altay
hovdaimag|mongolia	Hovd
tovaymag|mongolia	Tov
dzavhanzavkhan|mongolia	Zavkhan
provzavkhan|mongolia	Zavkhan
fesboulemane|morocco	Fes-Boulemane Region
fesboulemanesefrou|morocco	Fes-Boulemane Region
meknestafilaletifrane|morocco	Meknes-Tafilalet Region
meknestafillalsmcmassarone|morocco	Meknes-Tafilalet Region
tadlaazilal|morocco	Tadla-Azilal Region
tangiertetouanassilah|morocco	Tangier-Tetouan Region
tangiertetouan|morocco	Tangier-Tetouan Region
tangiertetouan|morocco	Tangier-Tetouan Region
capodelgado|mozambique	Cabo Delgado
sshan|myanmar	Shan
noordbrabant|netherlands	North Brabant
noordholland|netherlands	North Holland
nordholland|netherlands	North Holland
zuidholland|netherlands	South Holland
ut|netherlands	Utrecht
ze|netherlands	Zeeland
tarakaprov|nigeria	Taraba
akershus|norway	Akershus
austagder|norway	Aust-Agder
austagder|norway	Aust-Agder
austagder|norway	Aust-Agder
buskerud|norway	Buskerud
finnmark|norway	Finnmark
hedmark|norway	Hedmark
hedemark|norway	Hedmark
sortrondelag|norway	Hordaland
moereogromsdal|norway	More og Romsdal
moreogromsdal|norway	More og Romsdal
nordtrondelag|norway	Nord-Trondelag
nordtrondelag|norway	Nord-Trondelag
nordtroendelag|norway	Nord-Trondelag
nordtrondelag|norway	Nord-Trondelag
nordland|norway	Nordland
oppland|norway	Oppland
oppland|norway	Oppland
olso|norway	Oslo
oslofylke|norway	Oslo
oslo|norway	Oslo
oestfold|norway	Ostfold
soertroendelag|norway	Sor-Trondelag
sortrondelag|norway	Sor-Trondelag
sortrondelag|norway	Sor-Trondelag
sortrondelag|norway	Sor-Trondelag
vestagder|norway	Vest-Agder
vestagder|norway	Vest-Agder
vestfold|norway	Vestfold
vestfold|norway	Vestfold
zufar|oman	Dhofar
azadjammukashmir|pakistan	Azad Kashmir
ajk|pakistan	Azad Kashmir
azk|pakistan	Azad Kashmir
balochistan|pakistan	Baluchistan
dir|pakistan	Khyber Pakhtunkhwa
kpkk|pakistan	Khyber Pakhtunkhwa
kpk|pakistan	Khyber Pakhtunkhwa
bocas|panama	Bocas Del Toro
clon|panama	Colon
panamacaribbean|panama	Panama
newbritaine|papuanewguinea	East New Britain
easthighlands|papuanewguinea	Eastern Highlands
manusisl|papuanewguinea	Manus
morobe|papuanewguinea	Morobe
wnewbritainprovince|papuanewguinea	West New Britain
newbritainw|papuanewguinea	West New Britain
westernhighland|papuanewguinea	Western Highlands
neuvaasuncion|paraguay	Nueva Asuncion
nuevaascuncion|paraguay	Nueva Asuncion
arequipaprov|peru	Arequipa
cuscodept|peru	Cuzco
cusco|peru	Cuzco
dptojunin|peru	Junin
junin|peru	Junin
mdedios|peru	Madre de Dios
madrededios|peru	Madre de Dios
deptmadrededios|peru	Madre de Dios
dptopasco|peru	Pasco
pucallpa|peru	Ucayali
cayagan|philippines	Cagayan Valley
batangas|philippines	Calabarzon
laguna|philippines	Calabarzon
quezon|philippines	Calabarzon
rizal|philippines	Calabarzon
aurora2007|philippines	Central Luzon
luzon|philippines	Central Luzon
leyte|philippines	Eastern Visayas
guiuan|philippines	Eastern Visayas
orientalmindoro|philippines	Mimaropa
mindoro|philippines	Mimaropa
mindanao|philippines	Mindanao Island
metromanila|philippines	National Capital Region
manila|philippines	National Capital Region
metropolitanmanila|philippines	National Capital Region
ilolo|philippines	Western Visayas
lubelskie|poland	Lublin
podlasiefb89|poland	Podlaskie
pomorskie|poland	Pomeranian
podkarpackie|poland	Subcarpathian
picoazores|portugal	Azores
santamariaazores|portugal	Azores
saomiguelazores|portugal	Azores
castellobranco|portugal	Castelo Branco
carlibaba|romania	Suceava
republicofadygea|russia	Adygeya
altay|russia	Altai Krai
archangelsk|russia	Arkhangelsk
astrakhanregion|russia	Astrakhan
respublikaburyatiya|russia	Buryatiya
buryatia|russia	Buryatiya
repblicofburyatia|russia	Buryatiya
cheljabinsk|russia	Chelyabinsk
cheliabinskoblast|russia	Chelyabinsk
chelyabinskregion|russia	Chelyabinsk
chukotkaautokrug|russia	Chukot Autonomous Okrug
irkutskaja|russia	Irkutsk
jewishautonomousregion|russia	Jewish Autonomous Oblast
kalmykia|russia	Kalmykiya
karachaevocherkessiya|russia	Karachay-Cherkessia
russiancarelia|russia	Karelia
khabarovskiykray|russia	Khabarovsk Krai
khabarovsk|russia	Khabarovsk Krai
northwesternfederaldistric|russia	Komi
krasnodarskiykray|russia	Krasnoyarsk Krai
krasnodarskiykray|russia	Krasnoyarsk Krai
krasnoyarskiykray|russia	Krasnoyarsk Krai
krasnoyarsky|russia	Krasnoyarsk Krai
krasnodarskiikrai|russia	Krasnoyarsk Krai
lipetskoblast|russia	Lipetsk
nizhniynovgorodoblast|russia	Nizhniy Novgorod
novgorodoblast|russia	Novgorod
novgorodskayaoblast|russia	Novgorod
novosibirskregion|russia	Novosibirsk
novosibirskaya|russia	Novosibirsk
primorkiykray|russia	Primorsky Krai
primorskiy|russia	Primorsky Krai
primorya|russia	Primorsky Krai
primorsky|russia	Primorsky Krai
primorye|russia	Primorsky Krai
primorskii|russia	Primorsky Krai
prikorskiykray|russia	Primorsky Krai
sakhalinisland|russia	Sakhalinskaya
stavropolskiykray|russia	Stavropol Krai
sverdlovskoblast|russia	Sverdlovskaya
tjumendistrict|russia	Tyumenskaya
tumenskaya|russia	Tyumenskaya
tuva|russia	Tyva
ulyanovsk|russia	Ulyanovskaya
ulyanovsk|russia	Ulyanovskaya
vladimir|russia	Vladimirskaya
volgogradenv|russia	Volgograd
vologda|russia	Volgograd
volgogradskaya|russia	Vologodskaya
volgogradskayaoblast|russia	Vologodskaya
yamalonenetsautonomousokrug|russia	Yamal-Nenets Autonomous Okrug
yamalnenets|russia	Yamal-Nenets Autonomous Okrug
chitaoblast|russia	Zabaykalsky Krai
ouest|rwanda	Western
eastcape|southafrica	Eastern Cape
kwazulunatal|southafrica	KwaZulu-Natal
limpopoprov|southafrica	Limpopo
ncape|southafrica	Northern Cape
ncape|southafrica	Northern Cape
ncape|southafrica	Northern Cape
ncape|southafrica	Northern Cape
northcape|southafrica	Northern Cape
nwcape|southafrica	Northern Cape
wcape|southafrica	Western Cape
wcp|southafrica	Western Cape
andalucia|spain	Andalusia
provalmeria|spain	Andalusia
andalucia|spain	Andalusia
andaluzia|spain	Andalusia
huesca|spain	Aragon
mallorca|spain	Balearic Islands
illesbalears|spain	Balearic Islands
paisvasco|spain	Basque Country
castileandleon|spain	Castilla y Leon
castilelamancha|spain	Castilla-La Mancha
comvalenciana|spain	Comunidad Valenciana
valenciaalicante|spain	Comunidad Valenciana
caceresextremadura|spain	Extremadura
galizia|spain	Galicia
galiziaspain|spain	Galicia
sipalawini|suriname	Sipaliwini
dalarne|sweden	Dalarna
gastrikland|sweden	Gotland
lapland|sweden	Lappland
aselelappmark|sweden	Lappland
norrbottenslan|sweden	Norrbotten
norbotten|sweden	Norrbotten
skone|sweden	Skane
scania|sweden	Skane
ska|sweden	Skane
varmland|sweden	Varmland
vasternorrlands|sweden	Vasternorrland
cantongeneva|switzerland	Geneva
geneve|switzerland	Geneva
lucerne|switzerland	Luzern
stgallen|switzerland	Sankt Gallen
tessin|switzerland	Ticino
wallis|switzerland	Valais
vs|switzerland	Vaud
hualien|taiwan	Hualien County
kaohsiung|taiwan	Kaohsiung City
nantouxian|taiwan	Nantou County
nantou|taiwan	Nantou County
taipei|taiwan	New Taipei City
pingdongxian|taiwan	Pingtung County
taidong|taiwan	Taidong County
taibeicity|taiwan	Taipei City
taoyuan|taiwan	Taoyuan County
yilan|taiwan	Yilan County
sughdprovince|tajikistan	Sughd
daressalaam|tanzania	Dar-Es-Salaam
morongoro|tanzania	Morogoro
iringa|tanzania	Morogoro
chiangdao|thailand	Chiang Mai
phattalung|thailand	Phatthalung
patthalung|thailand	Phatthalung
prachuapkirikhan|thailand	Prachuap Khiri Khan
sakhonnakhon|thailand	Sakon Nakhon
ubonrathathani|thailand	Ubon Ratchathani
aydinili|turkey	Aydin
aydÄ±n|turkey	Aydin
balÄ±kesir|turkey	Balikesir
burdurili|turkey	Burdur
anatoliaerzincan|turkey	Erzincan
erzican|turkey	Erzincan
karamanmaras|turkey	Kahraman Maras
provkonya|turkey	Konya
icel|turkey	Mersin
provtokat|turkey	Tokat
provvan|turkey	Van
vanili|turkey	Van
easternregion|uganda	Eastern
ivanofrankivsk|ukraine	Ivano-Frankovsk
krim|ukraine	Krym
amazonasazonas|venezuela	Amazonas
bariavungtauprov|vietnam	Ba Ria-Vung Tau
daclacprov|vietnam	Dac Lac
danang|vietnam	Dak Nong
haiphonprov|vietnam	Hai Phong
lamdongprov|vietnam	Lam Dong
laocaiprovince|vietnam	Lao Cai
vihnphu|vietnam	Vinh Phuc
vinphuc|vietnam	Vinh Phuc
copperbeltprovince|zambia	North-Western
northwesternprovince|zambia	North-Western
